,Title,Link,Year,Rating,Movie_ID
53,Memento,https://www.imdb.com/title/tt0209144/reviews?ref_=tt_urv,2000,8.4,/title/tt0209144/
54,Apocalypse Now,https://www.imdb.com/title/tt0078788/reviews?ref_=tt_urv,1979,8.4,/title/tt0078788/
55,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/reviews?ref_=tt_urv,1981,8.4,/title/tt0082971/
56,Django Unchained,https://www.imdb.com/title/tt1853728/reviews?ref_=tt_urv,2012,8.4,/title/tt1853728/
57,WALL·E,https://www.imdb.com/title/tt0910970/reviews?ref_=tt_urv,2008,8.4,/title/tt0910970/
58,The Lives of Others,https://www.imdb.com/title/tt0405094/reviews?ref_=tt_urv,2006,8.4,/title/tt0405094/
59,Sunset Blvd.,https://www.imdb.com/title/tt0043014/reviews?ref_=tt_urv,1950,8.4,/title/tt0043014/
60,Paths of Glory,https://www.imdb.com/title/tt0050825/reviews?ref_=tt_urv,1957,8.4,/title/tt0050825/
61,The Shining,https://www.imdb.com/title/tt0081505/reviews?ref_=tt_urv,1980,8.4,/title/tt0081505/
62,The Great Dictator,https://www.imdb.com/title/tt0032553/reviews?ref_=tt_urv,1940,8.4,/title/tt0032553/
63,Witness for the Prosecution,https://www.imdb.com/title/tt0051201/reviews?ref_=tt_urv,1957,8.4,/title/tt0051201/
64,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/reviews?ref_=tt_urv,2018,8.4,/title/tt4154756/
65,Aliens,https://www.imdb.com/title/tt0090605/reviews?ref_=tt_urv,1986,8.3,/title/tt0090605/
66,American Beauty,https://www.imdb.com/title/tt0169547/reviews?ref_=tt_urv,1999,8.3,/title/tt0169547/
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/reviews?ref_=tt_urv,1964,8.3,/title/tt0057012/
68,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/reviews?ref_=tt_urv,2012,8.3,/title/tt1345836/
69,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/reviews?ref_=tt_urv,2018,8.3,/title/tt4633694/
70,Joker,https://www.imdb.com/title/tt7286456/reviews?ref_=tt_urv,2019,8.3,/title/tt7286456/
71,Oldeuboi,https://www.imdb.com/title/tt0364569/reviews?ref_=tt_urv,2003,8.3,/title/tt0364569/
72,Braveheart,https://www.imdb.com/title/tt0112573/reviews?ref_=tt_urv,1995,8.3,/title/tt0112573/
73,Amadeus,https://www.imdb.com/title/tt0086879/reviews?ref_=tt_urv,1984,8.3,/title/tt0086879/
74,Toy Story,https://www.imdb.com/title/tt0114709/reviews?ref_=tt_urv,1995,8.3,/title/tt0114709/
75,Coco,https://www.imdb.com/title/tt2380307/reviews?ref_=tt_urv,2017,8.3,/title/tt2380307/
76,Das Boot,https://www.imdb.com/title/tt0082096/reviews?ref_=tt_urv,1981,8.3,/title/tt0082096/
77,Inglourious Basterds,https://www.imdb.com/title/tt0361748/reviews?ref_=tt_urv,2009,8.3,/title/tt0361748/
78,Mononoke-hime,https://www.imdb.com/title/tt0119698/reviews?ref_=tt_urv,1997,8.3,/title/tt0119698/
79,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/reviews?ref_=tt_urv,1984,8.3,/title/tt0087843/
80,Avengers: Endgame,https://www.imdb.com/title/tt4154796/reviews?ref_=tt_urv,2019,8.3,/title/tt4154796/
81,Good Will Hunting,https://www.imdb.com/title/tt0119217/reviews?ref_=tt_urv,1997,8.3,/title/tt0119217/
82,Requiem for a Dream,https://www.imdb.com/title/tt0180093/reviews?ref_=tt_urv,2000,8.3,/title/tt0180093/
83,Toy Story 3,https://www.imdb.com/title/tt0435761/reviews?ref_=tt_urv,2010,8.3,/title/tt0435761/
